번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
83,C0019-0041,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,unicorn95,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A44
84,C0019-0043,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,DKVKXM1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A69
85,C0019-0045,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,pkvalve793,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
86,C0019-0046,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,wwlrmfdl,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A63
87,C0019-0048,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,jsyang,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A37
88,C0019-0050,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,baekshma,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A36
89,C0019-0051,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,hjlee77,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A42
90,C0019-0053,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,mjqaljs,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A53
91,C0019-0054,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,woniltni9,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A43
92,C0019-0056,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,park9913017,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A05
93,C0019-0058,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,bw1048,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A36
94,C0019-0059,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,goodluckmg,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A40
95,C0019-0061,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,grand33,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A47
96,C0019-0063,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,juhg8911,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C09
97,C0019-0065,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,lww257205,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
98,C0019-0067,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,hjw10521052,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A36
99,C0019-0068,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,qp,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A67
100,C0019-0070,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,hs2010124,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A50
101,C0019-0072,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,hylokkoreaqa,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A71
102,C0019-0074,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,heohyun24,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A61
103,C0019-0076,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,korval96,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A61
104,C0019-0078,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,nutcaseg,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C06
105,C0019-0080,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,wnguseh1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A03
106,C0019-0082,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,solux6848,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C06
107,C0019-0083,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,YPP2010,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A39
108,C0019-0085,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,vitzro05,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A51
109,C0019-0087,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,voda7231,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
110,C0019-0089,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,pulshawk,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A65
111,C0019-0091,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,kjh0102179,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A66
112,C0019-0093,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,seondo1972,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A53
