관리번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자ID,지적유형,검토기관,검토일,미흡/우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통/기타),위배 내용
2195,M0038-0041,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,isjang8770,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
2203,M0037-0023,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,jingo7878,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A33
2204,M0037-0024,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,mgj1026,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A04
2205,M0037-0025,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,manilow72,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A05
2206,M0037-0026,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,cwhydro1,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A33
2207,M0037-0027,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,wilopump1,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
2208,C0011-0050,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,jsyang,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A61
2209,C0011-0051,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,parkjinhong,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A05
2210,C0011-0052,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,mjqaljs,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
2211,C0011-0053,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,hjlee77,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A48
2212,C0011-0054,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,park9913017,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A61
2213,C0011-0055,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,jyshin0282,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A34
2214,M0038-0049,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,swchoi,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A32
2215,M0038-0050,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,jsyang,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
2216,M0038-0051,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,parkjinhong,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A32
2217,M0038-0052,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,mjqaljs,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A45
2218,M0038-0053,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,hjlee77,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A41
2219,M0038-0054,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,park9913017,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A56
2220,M0038-0055,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,도면에 압력유지부 체결 볼트 토오크값 표기 누락,2020-09-11 13:46,2020-09-11 13:46,jyshin0282,QSDR,검사업체,2020-08-12,"기술규격서(P206D, 4.04.B.1,q)에 압력유지부 체결 볼트 토오크값을 밸브 도면에 표기하도록 요구하고 있으나, 밸브에 아래의 압력유지부 체결 볼트 토오크 값이 누락되었는데 볼트 체결이 완료됨. 대상 자재 : 밸브(14"" Class 150) - Cover stud nut (BM No. : 60) - Hinge pin plug (BM No. : 58)","기술규격서 4.04.B DRAWING AND DOCUMENTS 1. The Supplier shall submit…. The following information shall be included on or submitted with the drawings : a. Two views of the valve assembly … q. The torque required for all pressure containment bolting, i.e., torque required to provide specified gasket loading",기술규격서에서 요구하는 정보가 도면상에 명시될수 있도록 설계자 교육 및 현황 점검,"펌프, 밸브 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A02
2228,M0037-0028,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,TSURUMI77,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A51
2229,M0037-0029,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,0bbe6fad4914,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
2230,M0037-0030,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,재료시험성적서(CMTR) 구성 요건 미흡,2020-09-11 13:37,2020-09-11 13:37,buradu,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대한 ‘재료시험성적서(CMTR)’ 검토 중 다음과 같은 서류 보안요구 사항을 발견함. 대상 자재 : Plate / KEPIC MDF A516 Gr.70G 불일치 사항 : 1) KEPIC MND/MNF 기술기준, 등급 및 적용연도 기재누락으로 확인 불가 - 동국제강에서 발행한 CMTR 성적서가 ‘Mill Test Certificate’로 발행 되어서 MND/MNF에 적합한 CMTR임을 확인할 수 없음 2) 구매시방서 번호 불일치 - 기준: 구매(PS)-F8-580.Rev.0, 작성: (PS)-F8-580. Rev.0","KEPIC MNZ 부록 P 재료시험정적서의 내용 P 1200 일반 요구정보 아래 (1)에서 (9)까지의 정보는 KEPIC-MN, 건조에 사용되는 금속재료를 위한 재료시험성적서에서 요구된다. … (4) 재료규격 번호, 등급, 분류, 형태, 호칭치수를 포함하는 재료설명서. 이음매없는 관과 용접관을 모두 포함하는 시방에 따라 제작하는 관의 경우, 보고서는 어떤 형태의 관인지 명시해야 한다. …",재료시험성적서 검토시 관련 재료의 규격요건과 품질요건을 반영한 검토가 되도록 인수검사자 및 품질검사자 교육 실시,"펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A56
