번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자아이디,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
79,M0054-0050,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,baekshma,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C08
80,M0054-0051,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,hjlee77,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A05
81,M0054-0052,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,parkjinhong,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C01
82,M0052-0007,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,ycyeon0806,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
83,M0052-0012,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,manilow72,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A06
84,M0052-0013,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,kntqa702,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
85,M0052-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,bandohoist7,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
86,M0052-0015,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,mbt5738542,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
87,M0052-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,banabayo,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A06
88,M0052-0018,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,seaheng1,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
89,M0052-0019,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,bhibw1751,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C07
90,M0052-0020,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,gsfire119,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A04
91,M0052-0021,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,vndanehd,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C01
92,M0052-0022,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,jiggydogg,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
93,M0052-0023,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,bokukqm2018,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C11
94,M0053-0029,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,TSURUMI77,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C11
95,M0053-0030,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,0bbe6fad4914,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A02
96,M0053-0031,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,buradu,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C11
97,M0053-0032,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,hec081058,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
98,M0053-0033,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,isjang8770,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
99,M0053-0034,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,shimjc98,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A01
100,M0053-0035,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,swparkssv,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
101,M0054-0053,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,mjqaljs,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
102,M0054-0054,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,woniltni9,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A06
103,M0054-0055,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,ktjsals1,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
104,M0054-0056,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,park9913017,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C06
105,M0054-0057,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,jyshin0282,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C01
106,M0052-0024,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,계측장비 교정 정도 불량,2022-12-01,2022-12-01,duaghdrl,NCR,검사업체,2022-10-12, 제어봉 구동체 나사산 검사에 사용된 Go-No Gage가 연례 교정 작업 중 정도불량으로 인해 기존 검사된 품목 전량 재검사 1. 사용 Gage 명 : UNC Thread Ring Gage 7/16 inch -14UNC-2A 2. 나사산 도면 요구사항 : 7/16 inch -14UNC-2A, Applicable DWG : N11008-133MD-C403, Go-No Gage 및 Template은 사용전 치수에 대한 재확인 하도록 권고.  검교정이 필요한 Gage 및 Template은 기록서 및 성적서를 보유.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C11
